Organization,Private Funding,Private Funding Spent,USG Funding,USG Funding Spent,Other Funding,Other Funding Spent
Academy for Educational Development,,,2000000,,,
Action Against Hunger,32684,21184,,,1300000,1300000
Action Aid International USA,929199,89089,153728,89089,12679697,2400000
Adventist Development and Relief Agency (ADRA),8845955,3413125,4730882,3329621,,
All Hands Volunteers,,,,,,
American Friends Service Committee (AFSC),1495179,286280,,,,
American Jewish Joint Distribution Committee,7500000,4900000,,,,
American Jewish World Service (AJWS),6537842,1566000,,,,
American Red Cross,477000000,245000000,,,,
American Refugee Committee International,1142647,975651,4410948,2707264,2333627,1078640
AmeriCares,15600000,4000000,,,40000000,40000000
America's Development Foundation,746793,696793,,,,
Ananda Marga Universal Relief Team (AMURT),2315000,1960000,,,749278,749278
Animal Relief Coalition for Haiti (ARCH),1040000,618074,,,,
Baptist World Alliance / Baptist World Aid,1409722,565706,,,,
BRAC USA,3130000,1500000,,,,
Brother's Brother Foundation,763374,329130,,,,
Buddhist Tzu Chi Foundation,9532321,6196008,,,,
CARE,36487145,12800000,,,,
Catholic Relief Services (CRS),156600000,23500000,44100000,25300000,12900000,5200000
CHF,,,,,,
Christian Blind Mission,1000000,450000,,,,
Christian Reformed World Relief Committee (CRWRC),6628487,2284928,,,4939596,1702732
Church World Service,4384655,2397569,,,,
Counterpart International,,,,,,
Direct Relief International,6630000,2030000,,,,
Episcopal Relief & Development,,,,,,
Food for the Hungry,3852720,1400000,2000000,2000000,1100000,700000
Friends of ACTED,,,,,,
Global Links, 525000 ,,,,,
Habitat for Humanity International,16800000,10300000,8200000,2600000,3800000,1500000
Handicap International,4824800,3740700,2685800,,16462000,5272600
Heartland Alliance for Human Needs & Human Rights,354000,220000,250000,82000,4160000,1830000
Heifer International,,,,,,
HelpAge USA,4600000,581500,,,,
Humane Society International,,,,,350000,
IMA World Health,397771,136098,,,,
International Housing Coalition,,,100000,60000,,
International Medical Corps,6741759,4065032,13000000,4814658,6914470,1326046
International Orthodox Christian Charities (IOCC),1043148,1041587,,,,
International Relief & Development,236000,92000,,,,
International Relief Teams (IRT),528874,417463,,,,
International Rescue Committee (IRC),6070588,2470256,4852539,2530499,3340649,264917
Life for Relief and Development,,,,,,
Lutheran World Relief,7263113,5541825,,,,
Management Sciences for Health (MSH),,,,,,
MAP International,978653,978653,,,,
"Medical Emergency Relief International, USA (Merlin)",1847800,1076000,,,9240100,8656300
Medical Teams International,5000000,2000000,,,,
Mercy Corps,17200000,5700000,20700000,4400000,7100000,2100000
Operation Blessing International,,,,,,
Operation USA,7920000,5500000,,,,
OXFAM,57279389,42267036,,,25658094,20758403
Pan American Development Foundation,2500000,2000000,7500000,2000000,20000000,10000000
Peace Dividend Trust,,,,,,
Physicians for Peace (PFP),,,,,,
Plan,20833498,12213388,47960,47960,4558276,2680987
Plant With Purpose,1000000,1000000,,,,
PROJECT C.U.R.E.,552740,370000,,,,
Project Concern International (PCI),200000,125000,1900000,1600000,,
Relief International,586000,321000,1500000,1500000,1172945,728347
Salvation Army World Service Office,29093595,12550050,,,216479,139809
Save the Children,74169298,37712734,13003804,8374366,,
Solar Cookers International,30581,28889,,,,
Stop Hunger Now,308941,164640,,,,
U.S. Fund for UNICEF,71741878,,,,,
United Methodist Committee on Relief,43129801,3586168,,,663027,243622
United Way Worldwide,,,,,,
US Committee for Refugees & Immigrants (USCRI),240000,240000,500000,,280000,280000
Winrock International,,,,,,
World Concern,3153408,1358180,3746524,3058335,746783,746537
World Food Program USA (WFP USA),17800000,,,,,
World Hope International,854175,466108,673536,673536,,
World Neighbors,535740,470008,,,,
World Relief,7000000,3500000,,,,
"World Vision US, Inc.",126000000,31000000,67500000,58600000,,17000000
Meds & Foods for Kids,,,,,,
